Resource_ID,Title,Platform,Skill,Level,Format,Type,Cost,URL,Duration,Enrollments,Rating,Rating_Count,Release_Date,Last_Updated,Instructor,Has_Certificate,Has_Projects,Has_Community,Difficulty_Score,Completion_Rate,Prerequisites,Related_Skills
RES_0000,Machine Learning Masterclass,Udacity,Machine Learning,Beginner,Tutorial Series,Subscription,23.57,https://www.udacity.com/courses/machine-learning-masterclass,5 hours,9035,3.7,951,2025-02-23,2025-03-23,Henry Rowe,True,True,False,2,83,None,"Project Management, DevOps"
RES_0001,JavaScript Specialization,Coursera,JavaScript,All Levels,Text-based,Subscription,20.44,https://www.coursera.com/courses/javascript-specialization,25 weeks,7698,4.9,1893,2025-02-12,2025-05-16,Mr. Christopher Berry DDS,False,True,False,7,45,"Web Development, Game Development","Data Science, SQL"
RES_0002,React Specialization,Coursera,React,Advanced,Video Course,Paid,174.63,https://www.coursera.com/courses/react-specialization,13 weeks,30714,4.5,7052,2023-08-04,2025-03-08,Justin Francis,True,True,False,8,61,Project Management,"DevOps, Game Development, Mobile Development"
RES_0003,React Specialization,Coursera,React,Beginner,Text-based,Freemium,26.77,https://www.coursera.com/courses/react-specialization,7 weeks,14934,4.2,3718,2022-11-02,2023-06-03,Coursera,False,True,True,3,84,None,"Data Science, Cloud Computing, Blockchain"
RES_0004,Web Development Masterclass,FreeCodeCamp,Web Development,Beginner,Video Course,Paid,129.21,https://www.freecodecamp.com/courses/web-development-masterclass,26 months,9871,3.3,2686,2025-04-12,2025-05-15,Matthew Wilson,False,True,False,1,44,None,"Mobile Development, Machine Learning, UI/UX Design"
RES_0005,JavaScript Masterclass,Skillshare,JavaScript,All Levels,Video Course,Subscription,49.02,https://www.skillshare.com/courses/javascript-masterclass,25 days,8417,3.3,2125,2025-01-15,2025-03-14,Mia George,False,True,True,7,30,"Mobile Development, Artificial Intelligence, Python Programming",Data Science
RES_0006,React Masterclass,Pluralsight,React,Beginner,Interactive,Free,0.0,https://www.pluralsight.com/courses/react-masterclass,3 months,1233,3.1,338,2022-08-26,2024-12-07,Bruce Rogers,True,True,True,4,57,None,"UI/UX Design, Cybersecurity"
RES_0007,Data Science Masterclass,Udacity,Data Science,All Levels,Bootcamp,Freemium,12.1,https://www.udacity.com/courses/data-science-masterclass,8 hours,5639,4.7,630,2025-07-08,2025-07-15,Scott Drake,True,True,False,3,34,"Web Development, Blockchain","DevOps, Artificial Intelligence"
RES_0008,Learn Game Development - Full Course,YouTube,Game Development,Intermediate,Tutorial Series,Freemium,24.3,https://www.youtube.com/courses/learn-game-development---full-course,16 months,13478,4.2,1493,2025-02-08,2025-07-28,Kelly Davis,True,True,False,4,37,"Mobile Development, Machine Learning","SQL, SQL"
RES_0009,Project Management Masterclass,Khan Academy,Project Management,Intermediate,Project-based,Paid,62.92,https://www.khanacademy.com/courses/project-management-masterclass,8 hours,7360,4.4,1845,2025-02-01,2025-08-09,Robert Nguyen,True,True,True,5,51,"Artificial Intelligence, Artificial Intelligence","Cybersecurity, Data Analysis"
RES_0010,Cybersecurity Professional Certificate,edX,Cybersecurity,Beginner,Project-based,Subscription,47.43,https://www.edx.com/courses/cybersecurity-professional-certificate,26 months,4773,3.0,625,2023-04-07,2023-09-08,edX,False,True,False,3,57,None,Game Development
RES_0011,Mobile Development Specialization,Coursera,Mobile Development,Beginner,Video Course,Freemium,50.29,https://www.coursera.com/courses/mobile-development-specialization,28 days,4727,4.9,854,2022-10-15,2025-03-10,Coursera,True,True,False,2,35,None,Digital Marketing
RES_0012,Blockchain Masterclass,Udacity,Blockchain,Advanced,Text-based,Paid,137.25,https://www.udacity.com/courses/blockchain-masterclass,11 days,4451,4.7,509,2023-06-02,2025-04-09,Denise Young,True,True,False,10,42,Game Development,DevOps
RES_0013,Data Science Professional Certificate,edX,Data Science,Beginner,Interactive,Subscription,24.97,https://www.edx.com/courses/data-science-professional-certificate,15 weeks,8766,3.4,1078,2025-08-04,2025-08-04,Leah Hays,False,False,True,1,49,None,"UI/UX Design, SQL, Mobile Development"
RES_0014,Learn DevOps - Full Course,YouTube,DevOps,All Levels,Text-based,Free,0.0,https://www.youtube.com/courses/learn-devops---full-course,3 months,19132,3.4,3603,2025-05-22,2025-08-21,Nicole Hawkins DDS,True,False,True,8,84,"Python Programming, Machine Learning, Web Development","Game Development, Data Analysis"
RES_0015,Game Development Masterclass,LinkedIn Learning,Game Development,Intermediate,Project-based,Paid,17.95,https://www.linkedinlearning.com/courses/game-development-masterclass,12 hours,5962,3.4,1080,2024-06-16,2024-09-06,Faith Watts,True,False,False,5,60,JavaScript,"Python Programming, Mobile Development, Digital Marketing"
RES_0016,React Masterclass,Udacity,React,Advanced,Interactive,Free,0.0,https://www.udacity.com/courses/react-masterclass,13 hours,7811,3.6,1136,2024-05-22,2025-05-11,Udacity,True,True,False,7,54,"Mobile Development, DevOps",
RES_0017,Blockchain Masterclass,LinkedIn Learning,Blockchain,All Levels,Tutorial Series,Subscription,47.87,https://www.linkedinlearning.com/courses/blockchain-masterclass,4 weeks,3025,4.0,669,2024-02-24,2025-07-13,Elizabeth Kent,True,False,True,7,44,"SQL, DevOps",Digital Marketing
